fips,avg_wind_speed,avg_capacity_factor,avg_fraction_of_usable_area,population,num_turbs,state,county,turb_size
1001,6.22,0.328,1,59095,0, Alabama,Autauga,0
1003,6.3,0.3235,1,239294,0, Alabama,Baldwin,0
1005,6.09,0.314,1,24964,0, Alabama,Barbour,0
1007,6.22,0.328,1,22477,0, Alabama,Bibb,0
1009,6.73,0.372,0.9989,59041,0, Alabama,Blount,0
1011,5.7,0.281,1,10320,0, Alabama,Bullock,0
1013,6.07,0.315,1,18884,0, Alabama,Butler,0
1015,6.36,0.336,0.9942,115972,0, Alabama,Calhoun,0
1017,5.97,0.3,1,34541,0, Alabama,Chambers,0
1019,6.7,0.366,0.9972,24996,0, Alabama,Cherokee,0
1021,6.34,0.338,1,45274,0, Alabama,Chilton,0
1023,6.19,0.326,1,12533,0, Alabama,Choctaw,0
1025,6.26,0.334,1,22760,0, Alabama,Clarke,0
1027,6.63,0.36,0.9976,14190,0, Alabama,Clay,0
1029,7.04,0.386,1,15103,0, Alabama,Cleburne,0
1031,6.05,0.313,1,54174,0, Alabama,Coffee,0
1033,6.7,0.371,1,57474,0, Alabama,Colbert,0
1035,5.95,0.3,1,11328,0, Alabama,Conecuh,0
1037,6.49,0.351,0.9751,10450,0, Alabama,Coosa,0
1039,6.01,0.308,1,37524,0, Alabama,Covington,0
1041,6.34,0.339,1,13083,0, Alabama,Crenshaw,0
1043,6.78,0.377,1,89496,0, Alabama,Cullman,0
1045,6.2,0.325,0.9987,49342,0, Alabama,Dale,0
1047,5.9,0.3,1,37619,0, Alabama,Dallas,0
1049,6.68,0.363,1,71813,0, Alabama,DeKalb,0
1051,5.74,0.287,1,89304,0, Alabama,Elmore,0
1053,6.03,0.309,1,36699,0, Alabama,Escambia,0
1055,6.32,0.332,1,103162,0, Alabama,Etowah,0
1057,6.41,0.345,1,16148,0, Alabama,Fayette,0
1059,6.8,0.379,1,32013,0, Alabama,Franklin,0
1061,6.23,0.331,1,26701,0, Alabama,Geneva,0
1063,5.47,0.261,1,7629,0, Alabama,Greene,0
1065,5.85,0.296,1,14754,0, Alabama,Hale,0
1067,6.15,0.321,1,17459,0, Alabama,Henry,0
1069,6.16,0.323,1,107458,0, Alabama,Houston,0
1071,7.22,0.411,0.9982,52773,0, Alabama,Jackson,0
1073,6.27,0.332,1,667820,0, Alabama,Jefferson,0
1075,6.17,0.325,1,13689,0, Alabama,Lamar,0
1077,6,0.31,1,94043,0, Alabama,Lauderdale,0
1079,6.55,0.358,1,33090,0, Alabama,Lawrence,0
1081,6.09,0.313,1,177218,0, Alabama,Lee,0
1083,5.98,0.309,0.9767,107517,0, Alabama,Limestone,0
1085,5.73,0.283,1,9965,0, Alabama,Lowndes,0
1087,5.51,0.263,1,18895,0, Alabama,Macon,0
1089,6.78,0.375,0.9861,395211,0, Alabama,Madison,0
1091,6.14,0.322,1,18996,0, Alabama,Marengo,0
1093,6.66,0.368,1,29246,0, Alabama,Marion,0
1095,6.72,0.37,0.9798,98228,0, Alabama,Marshall,0
1097,6.09,0.314,0.6922,413073,0, Alabama,Mobile,0
