"name","id","tags","state_breakdown","waste_percentage","machine_type","coal_overhead","petroleum_overhead","natural_gas_overhead","nuclear_overhead","solar/pv_overhead","biomass_overhead","wind_overhead","hydroelectric_overhead","geothermal_overhead"
"petroleum net imports",0,"{}","",0,"",0,0,0,0,0,0,0,0,0
"primary petroleum",1,"{}","",0,"",0,0,0,0,0,0,0,0,0
"total petroleum field production",2,"{}","",0,"",0,0,0,0,0,0,0,0,0
"renewable fuels and oxygenate plant net production",3,"{}","",0,"",0,0,0,0,0,0,0,0,0
"petroleum processing gain",4,"{}","",0,"",0,0,0,0,0,0,0,0,0
"petroleum stock",5,"{}","",0,"",0,0,0,0,0,0,0,0,0
"petroleum adjustments",6,"{}","",0,"",0,0,0,0,0,0,0,0,0
"residential sector",7,"{}","",0,"",0,0,0,0,0,0,0,0,0
"commercial sector",8,"{}","",0,"",0,0,0,0,0,0,0,0,0
"transportation sector",10,"{}","",0,"",0,0,0,0,0,0,0,0,0
"natural gas net imports",11,"{}","",0,"",0,0,0,0,0,0,0,0,0
"primary natural gas",12,"{}","",0,"Gas turbine, steam turbine, process heat, water heating, space heating, chemical process",0,0,0,0,0,0,0,0,0
"natural gas production (dry)",13,"{}","",0,"Gas turbine, steam turbine, process heat, water heating, space heating, chemical process",0,0,0,0,0,0,0,0,0
"supplemental gaseous fuels",14,"{}","",0,"",0,0,0,0,0,0,0,0,0
"net storage withdrawals",15,"{}","",0,"",0,0,0,0,0,0,0,0,0
"balancing item",16,"{}","",0,"",0,0,0,0,0,0,0,0,0
"primary coal",17,"{}","",0,"Steam turbine, process heating",0,0,0,0,0,0,0,0,0
"coal net exports",18,"{}","",0,"Steam turbine, process heating",0,0,0,0,0,0,0,0,0
"coal production",19,"{}","",0,"Steam turbine (~90%), process heating",0,0,0,0,0,0,0,0,0
"waste coal supplied",20,"{}","",0,"",0,0,0,0,0,0,0,0,0
"coal stock change",21,"{}","",0,"",0,0,0,0,0,0,0,0,0
"coal losses and unaccounted",22,"{}","",0,"",0,0,0,0,0,0,0,0,0
"total biomass energy production",23,"{}","",0,"Reciprocating engine, steam turbine, direct combustion",0,0,0,0,0,0,0,0,0
"primary biomass",24,"{}","",0,"Reciprocating engine, steam turbine, direct combustion",0,0,0,0,0,0,0,0,0
"geothermal energy production",25,"{}","",0,"Steam turbine, organic rankine cycle, process heating, space heating, water heating",0,0,0,0,0,0,0,0,0
"primary geothermal",26,"{}","",0,"Steam turbine, organic rankine cycle, process heating, space heating, water heating",0,0,0,0,0,0,0,0,0
"solar/pv energy production",27,"{}","",0,"Photovoltaics",0,0,0,0,0,0,0,0,0
"primary solar/pv",28,"{}","",0,"Photovoltaics",0,0,0,0,0,0,0,0,0
"hydroelectric energy production",29,"{}","",0,"Hydro electric turbine",0,0,0,0,0,0,0,0,0
"primary hydroelectric",30,"{}","",0,"Hydro electric turbine",0,0,0,0,0,0,0,0,0
"wind energy production",31,"{}","",0,"Wind turbine",0,0,0,0,0,0,0,0,0
"primary wind",32,"{}","",0,"Wind turbine",0,0,0,0,0,0,0,0,0
"nuclear production",33,"{}","",0,"Steam turbine",0,0,0,0,0,0,0,0,0
"primary nuclear",34,"{}","",0,"Steam turbine",0,0,0,0,0,0,0,0,0
"electricity net imports",35,"{}","",0,"",0,0,0,0,0,0,0,0,0
"electricity",36,"{}","",0,"",0,0,0,0,0,0,0,0,0
"commercial-electricity",37,"{}","",0,"",0,0,0,0,0,0,0,0,0
"commercial-natural gas",38,"{}","",0,"Space heating, water heating",0,0,0,0,0,0,0,0,0
"commercial-fuel oil",39,"{}","",0,"Space heating, water heating",0,0,0,0,0,0,0,0,0
"commercial-district heat",40,"{}","",0,"Space heating, water heating",0,0,0,0,0,0,0,0,0
"education",41,"{}","",0,"",0,0,0,0,0,0,0,0,0
"food sales",42,"{""food"":0}","",0,"",0,0,0,0,0,0,0,0,0
"food service",43,"{""food"":0}","",0,"",0,0,0,0,0,0,0,0,0
"healthcare-inpatient",44,"{""health"":0}","",0,"",0,0,0,0,0,0,0,0,0
"healthcare-outpatient",45,"{""health"":0}","",0,"",0,0,0,0,0,0,0,0,0
"lodging",46,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"retail (other than mall)",47,"{""stuff"":0}","",0,"",0,0,0,0,0,0,0,0,0
"enclosed and strip malls",48,"{""stuff"":0}","",0,"",0,0,0,0,0,0,0,0,0
"office",49,"{""services"":0}","",0.08,"",0,0,0,0,0,0,0,0,0
"public assembly",50,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"public order and safety",51,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"religious worship",52,"{""services"":0}","",0,"building",0,0,0,0,0,0,0,0,0
"service",53,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"warehouse and storage",54,"{""stuff"":0}","",0,"building",0,0,0,0,0,0,0,0,0
"commercial-other",55,"{""services"":0.5,""stuff"":0.5}","",0,"",0,0,0,0,0,0,0,0,0
"vacant",56,"{""services"":0.5,""stuff"":0.5}","",0,"",0,0,0,0,0,0,0,0,0
"space heating",57,"{""stuff"":0.1,""services"":0.1,""health"":0.1,""food"":0.1,""housing"":0.6}","",0.22,"Direct combustion, electric heat pump",0,0,0,0,0,0,0,0,0
"air conditioning",58,"{""stuff"":0.1,""services"":0.1,""health"":0.1,""food"":0.1,""housing"":0.6}","",0.41,"Electric heat pump",0,0,0,0,0,0,0,0,0
"ventilation",59,"{""stuff"":0.25,""services"":0.25,""health"":0.25,""food"":0.25}","",0.23,"Electric fan",0,0,0,0,0,0,0,0,0
"water heating",60,"{""food"":0.1}","",0.32,"Direct combustion, direct electric, electric heat pump",0,0,0,0,0,0,0,0,0
"lighting",61,"{""stuff"":0.1,""services"":0.1,""health"":0.1,""food"":0.1,""housing"":0.6}","",0.9,"",0,0,0,0,0,0,0,0,0
"cooking",62,"{""food"":0}","",0.6,"Direct combustion, direct electric",0,0,0,0,0,0,0,0,0
"refrigerators",63,"{""food"":0}","",0.64,"Electric heat pump",0,0,0,0,0,0,0,0,0
"office equipment",64,"{""services"":0.5,""stuff"":0.5}","",0.6,"computer",0,0,0,0,0,0,0,0,0
"computing",65,"{""services"":0}","",0.25,"computer",0,0,0,0,0,0,0,0,0
"other appliances",66,"{""services"":0.5,""stuff"":0.5}","",0.24,"",0,0,0,0,0,0,0,0,0
"residential-electricity",69,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"residential-natural gas",70,"{""housing"":0}","",0,"direct combustion",0,0,0,0,0,0,0,0,0
"residenital-propane/ lpg",71,"{""housing"":0}","",0,"direct combustion",0,0,0,0,0,0,0,0,0
"residential-fuel oil",72,"{""housing"":0}","",0,"direct combustion",0,0,0,0,0,0,0,0,0
"residential-kerosene",73,"{""housing"":0}","",0,"direct combustion",0,0,0,0,0,0,0,0,0
"single-family detached",74,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"single-family attached",75,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"apartments in 2-4 unit buildings",76,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"apartments in 5 or more unit buildings",77,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"mobile homes",78,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"single-family",79,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"multi-family",80,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"other-residential",81,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"electronics",82,"{""stuff"":0}","",0.73,"",0,0,0,0,0,0,0,0,0
"washing",83,"{""stuff"":0}","",0.16,"Electric motor",0,0,0,0,0,0,0,0,0
"highway",84,"{}","",0,"Reciprocating engine",0,0,0,0,0,0,0,0,0
