t_state,state_full,t_county,p_tnum,fips,xlong,ylat
AK,Alaska,Aleutians East Borough,2,2013,-160.489075,55.343601
AK,Alaska,Aleutians East Borough,2,2013,-160.490585,55.344799
AK,Alaska,Aleutians West Census Area,1,2016,-170.235947,57.157486
AK,Alaska,Aleutians West Census Area,3,2016,-170.237385,57.157562
AK,Alaska,Aleutians West Census Area,3,2016,-170.235198,57.157037
AK,Alaska,Bethel Census Area,1,2050,-161.884452,60.781362
AK,Alaska,Bethel Census Area,3,2050,-162.512878,60.8694
AK,Alaska,Bethel Census Area,3,2050,-162.514282,60.871201
AK,Alaska,Bethel Census Area,3,2050,-162.51268,60.870899
AK,Alaska,Bethel Census Area,3,2050,-161.914383,59.740002
AK,Alaska,Bethel Census Area,3,2050,-161.91568,59.739601
AK,Alaska,Bethel Census Area,3,2050,-161.913086,59.740299
AK,Alaska,Bethel Census Area,4,2050,-165.115082,60.526501
AK,Alaska,Bethel Census Area,4,2050,-165.111298,60.525944
AK,Alaska,Bethel Census Area,4,2050,-165.112076,60.5271
AK,Alaska,Bethel Census Area,4,2050,-165.116974,60.526302
AK,Alaska,Bethel Census Area,5,2050,-162.663376,60.337799
AK,Alaska,Bethel Census Area,5,2050,-162.661072,60.336399
AK,Alaska,Bethel Census Area,5,2050,-162.662674,60.337399
AK,Alaska,Bethel Census Area,5,2050,-162.66188,60.3368
AK,Alaska,Bethel Census Area,5,2050,-162.664185,60.338299
AK,Alaska,Bethel Census Area,12,2050,-163.158661,59.873089
AK,Alaska,Bethel Census Area,12,2050,-161.789841,60.797009
AK,Alaska,Bethel Census Area,12,2050,-163.15741,59.872906
AK,Alaska,Bethel Census Area,12,2050,-161.793533,60.794064
AK,Alaska,Bethel Census Area,12,2050,-161.790085,60.797314
AK,Alaska,Bethel Census Area,12,2050,-163.156265,59.872612
AK,Alaska,Bethel Census Area,12,2050,-161.790512,60.797504
AK,Alaska,Bethel Census Area,12,2050,-163.153854,59.872135
AK,Alaska,Bethel Census Area,12,2050,-161.886581,60.780571
AK,Alaska,Bethel Census Area,12,2050,-162.2892,60.863224
AK,Alaska,Bethel Census Area,12,2050,-163.154999,59.872452
AK,Alaska,Bethel Census Area,12,2050,-162.290876,60.863708
AK,Alaska,Denali Borough,12,2068,-148.89328,64.058495
AK,Alaska,Denali Borough,12,2068,-148.935883,64.071701
AK,Alaska,Denali Borough,12,2068,-148.928268,64.071198
AK,Alaska,Denali Borough,12,2068,-148.876877,64.061699
AK,Alaska,Denali Borough,12,2068,-148.907974,64.071999
AK,Alaska,Denali Borough,12,2068,-148.903778,64.059998
AK,Alaska,Denali Borough,12,2068,-148.885071,64.058098
AK,Alaska,Denali Borough,12,2068,-148.912277,64.061699
AK,Alaska,Denali Borough,12,2068,-148.868668,64.060799
AK,Alaska,Denali Borough,12,2068,-148.85878,64.062798
AK,Alaska,Denali Borough,12,2068,-148.918671,64.070801
AK,Alaska,Denali Borough,12,2068,-148.944778,64.069
AK,Alaska,Kenai Peninsula Borough,11,2122,-150.267471,61.124996
AK,Alaska,Kenai Peninsula Borough,16,2122,-149.432159,60.126122
AK,Alaska,Kodiak Island Borough,3,2150,-152.446075,57.786198
AK,Alaska,Kodiak Island Borough,3,2150,-152.443176,57.786999
AK,Alaska,Kodiak Island Borough,3,2150,-152.440582,57.787098
AK,Alaska,Kodiak Island Borough,3,2150,-152.455078,57.7845
AK,Alaska,Kodiak Island Borough,3,2150,-152.450272,57.785797
AK,Alaska,Kodiak Island Borough,3,2150,-152.460083,57.783501
AK,Alaska,Lake and Peninsula Borough,3,2164,-157.546606,57.565571
AK,Alaska,Lake and Peninsula Borough,3,2164,-154.764297,59.446339
AK,Alaska,Lake and Peninsula Borough,3,2164,-154.764984,59.446915
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.229782,61.1395
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.260178,61.125099
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.248474,61.128998
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.251282,61.127296
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.25528,61.126499
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.243484,61.129898
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.215973,61.1395
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.222977,61.130699
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.235184,61.131897
AK,Alaska,Matanuska-Susitna Borough,11,2170,-150.226273,61.128998
AK,Alaska,Nome Census Area,3,2180,-171.711578,63.778801
AK,Alaska,Nome Census Area,3,2180,-171.713074,63.779102
AK,Alaska,Nome Census Area,3,2180,-171.710175,63.778503
AK,Alaska,Nome Census Area,18,2180,-165.427475,64.571701
AK,Alaska,Nome Census Area,18,2180,-165.427277,64.571198
AK,Alaska,Nome Census Area,18,2180,-165.427277,64.568398
AK,Alaska,Nome Census Area,18,2180,-165.43338,64.563202
AK,Alaska,Nome Census Area,18,2180,-165.431473,64.562302
AK,Alaska,Nome Census Area,18,2180,-165.427475,64.569099
AK,Alaska,Nome Census Area,18,2180,-165.427673,64.570503
AK,Alaska,Nome Census Area,18,2180,-165.43368,64.565158
AK,Alaska,Nome Census Area,18,2180,-165.42868,64.567902
AK,Alaska,Nome Census Area,18,2180,-165.434612,64.564167
AK,Alaska,Nome Census Area,18,2180,-165.432808,64.56235
AK,Alaska,Nome Census Area,18,2180,-165.428772,64.568703
AK,Alaska,Nome Census Area,18,2180,-165.425278,64.572205
AK,Alaska,Nome Census Area,18,2180,-165.434866,64.563367
AK,Alaska,Nome Census Area,18,2180,-165.426483,64.571999
AK,Alaska,Nome Census Area,2,2180,-165.426452,64.570301
AK,Alaska,Nome Census Area,2,2180,-165.431274,64.566704
AK,Alaska,Nome Census Area,2,2180,-170.498276,63.691502
AK,Alaska,Nome Census Area,2,2180,-170.498077,63.692303
AK,Alaska,Nome Census Area,2,2180,-161.203964,64.360901
AK,Alaska,Nome Census Area,2,2180,-161.202072,64.360191
AK,Alaska,Nome Census Area,1,2180,-167.962418,65.568611
AK,Alaska,Nome Census Area,6,2180,-160.770126,63.909184
AK,Alaska,Nome Census Area,6,2180,-160.770172,63.910702
AK,Alaska,Nome Census Area,6,2180,-160.770172,63.91
AK,Alaska,Nome Census Area,6,2180,-160.770096,63.907703
AK,Alaska,Nome Census Area,6,2180,-160.770172,63.911499
AK,Alaska,Nome Census Area,6,2180,-160.770142,63.90847
AK,Alaska,Nome Census Area,2,2180,-168.086655,65.6157
AK,Alaska,Nome Census Area,2,2180,-168.087997,65.61586
AK,Alaska,Nome Census Area,1,2180,-166.059753,66.258034
AK,Alaska,Northwest Arctic Borough,2,2188,-162.563367,66.836591
AK,Alaska,Northwest Arctic Borough,1,2188,-162.557373,66.83712
AK,Alaska,Northwest Arctic Borough,2,2188,-162.559967,66.831604
AK,Alaska,Northwest Arctic Borough,3,2188,-162.563278,66.838501
AK,Alaska,Northwest Arctic Borough,3,2188,-162.551468,66.839905
AK,Alaska,Northwest Arctic Borough,3,2188,-162.563278,66.839203
AK,Alaska,Northwest Arctic Borough,3,2188,-162.551608,66.838515
AK,Alaska,Northwest Arctic Borough,3,2188,-162.551468,66.839203
