State,Fips,Solar,Wind,Biopower,Geothermal,Hydropower
Alabama,01,3758624.24,306.78,12726.53,535489.5,4102.57
Alaska,02,8283145.97,1472596.01,575.31,15437.27,23675.57
Arizona,04,24557233.12,28228.1,1925.06,1247477.25,1303.22
Arkansas,05,5024189.56,24741.58,15444.48,628621.67,6093.4
California,06,17701760.82,2759297.86,27919.26,1475100.5,30023.58
Colorado,08,19452671.26,1173866.93,4137.52,1260611.63,7789.13
Connecticut,09,34072.02,26612.6,909.42,56078.44,922.46
Delaware,10,289575.51,60677.65,897.85,22813.35,30.79
Florida,12,5275398.83,34685.52,13357.61,374161.27,682.11
Georgia,13,5567021.18,221156,16903.31,353206.47,1988.01
Hawaii,15,57166.63,2845018.1,724.34,20632.05,2602.27
Idaho,16,7467237.6,47952.95,5958.12,1010462.31,18757.8
Illinois,17,8226038.58,765764.69,31960.31,676055.94,4882.5
Indiana,18,4993502.7,407563.35,17919.85,434258.5,2394.29
Iowa,19,7030244.42,1838301.42,28927.88,606390.29,2818.19
Kansas,20,22515412.23,3293002.24,12857.49,989675.95,2507.93
Kentucky,21,1863169.2,159.54,8322.02,484658.77,4255.37
Louisiana,22,4185361.84,1201715.52,14873.34,484271.37,2423.33
Maine,23,1106030.61,662964.47,4397.79,377075.1,3916.42
Maryland,24,629759.76,204781.89,3328.69,86649.03,814.02
Massachusetts,25,111646.45,802378.21,2148.95,92227.28,1196.72
Michigan,26,5290767.51,1895575.92,11897.37,457850.29,1180.95
Minnesota,27,10840958.44,1627322.9,21391.41,369784.58,1254.88
Mississippi,28,5016572.76,10172.12,15286.59,559056.09,2211.17
Missouri,29,5382385.96,744664.61,13985.52,835444.6,7198.5
Montana,30,9741329.34,2936016.51,5072.02,1653851.51,14546.56
Nebraska,31,14132129.84,3195770.34,17022.73,927996.46,3142.18
Nevada,32,16946110.74,19165.97,614.34,1307495.63,845.96
New Hampshire,33,63506.19,20613.24,1343.45,104314.42,1740.91
New Jersey,34,500414.56,430151.45,3523.05,35230.44,549.39
New Mexico,35,33209442.68,1498065.39,948.97,1430911.58,1362.7
New York,36,1574889.47,683027.6,8508.74,375400.6,6711.25
North Carolina,37,4330406.11,1271826.69,16650.09,420741.33,3036.53
North Dakota,38,9777347.69,2692634.05,8216.08,820226.35,347.13
Ohio,39,3744016.74,310743.17,14372.45,495921.72,3045.96
Oklahoma,40,14473008.98,1625533.15,5093.64,779667.39,3015.83
Oregon,41,6587002.49,1036936.7,14684.08,932305.25,18184.43
Pennsylvania,42,632543.08,32466.47,13446.01,327340.57,8368.1
Rhode Island,44,17161.94,89254.17,617.67,11491.53,59.47
South Carolina,45,2803649.07,542683.41,8415.07,364104.98,1888.69
South Dakota,46,11645243.99,3079223.02,8615.48,921972.51,1047.06
Tennessee,47,2296558.99,827.7,8079.93,428380.04,5744.54
Texas,48,62157160.07,7035670.09,21976.04,3030250.97,3006.08
Utah,49,10290743.65,34185.98,861.77,952362.37,3528.34
Vermont,50,57499.39,8388.42,695.26,35616.71,1710.27
Virginia,51,1932546.3,366003.73,10364.72,290736.64,3656.76
Washington,53,1947588.57,538989.04,13825.83,565570.58,27248.93
West Virginia,54,59985.39,5330.15,2687.98,261376.5,4408.43
Wisconsin,55,5111911.94,593876.32,13294.54,647173.22,2286.76
Wyoming,56,11142494.07,1764823.31,553.18,1071451.77,4445.25
